Line #,Key,en Version,ka Translation
1,ka.mongoid.models.user.one,User,მომხმარებელი
2,ka.mongoid.models.user.other,Users,მომხმარებელი
3,ka.mongoid.models.page_content.one,Text for Pages,ტექსტი გვერდებისთვის
4,ka.mongoid.models.page_content.other,Text for Pages,ტექსტი გვერდებისთვის
5,ka.mongoid.models.dataset.one,Dataset,მონაცემები
6,ka.mongoid.models.dataset.other,Datasets,მონაცემები
7,ka.mongoid.models.shapeset.one,Shapeset,რუკის კონტურული ფორმები
8,ka.mongoid.models.shapeset.other,Shapesets,რუკის კონტურული ფორმები
9,ka.mongoid.models.question.one,Question,შეკითხვა
10,ka.mongoid.models.question.other,Questions,შეკითხვა
11,ka.mongoid.models.time_series.one,Time Series,პერიოდული შედარება
12,ka.mongoid.models.time_series.other,Time Series,პერიოდული შედარება
13,ka.mongoid.models.time_series_question.one,Question,შეკითხვა
14,ka.mongoid.models.time_series_question.other,Questions,შეკითხვა
15,ka.mongoid.models.time_series_answer.one,Answer,პასუხი
16,ka.mongoid.models.time_series_answer.other,Answers,პასუხი
17,ka.mongoid.models.api_version.one,API Version,API ვერსია
18,ka.mongoid.models.api_version.other,API Versions,API ვერსია
19,ka.mongoid.models.api_method.one,API Method,API მეთოდი
20,ka.mongoid.models.api_method.other,API Methods,API ვერსია
21,ka.mongoid.models.api_key.one,API Access Token,API-ის დაშვების გასაღები
22,ka.mongoid.models.api_key.other,API Access Tokens,API-ის დაშვების გასაღები
23,ka.mongoid.models.category.one,Category,კატეგორია
24,ka.mongoid.models.category.other,Categories,კატეგორია
25,ka.mongoid.models.category_mapper.one,Categories,კატეგორიები
26,ka.mongoid.models.category_mapper.other,Categories,კატეგორიები
27,ka.mongoid.models.group.one,Group,ჯგუფი
28,ka.mongoid.models.group.other,Groups,ჯგუფი
29,ka.mongoid.models.weight.one,Weight,შეწონვა
30,ka.mongoid.models.weight.other,Weights,შეწონვა
31,ka.mongoid.models.time_series_group.one,Groups,ჯგუფი
32,ka.mongoid.models.time_series_group.other,Groups,ჯგუფი
33,ka.mongoid.models.time_series_weight.one,Weight,შეწონვა
34,ka.mongoid.models.time_series_weight.other,Weights,შეწონვა
35,ka.mongoid.models.time_series_weight_assignment.one,Weight Assignment,შეწონვის მინიჭება
36,ka.mongoid.models.time_series_weight_assignment.other,Weight Assignments,შეწონვის მინიჭება
37,ka.mongoid.models.help_section.one,Guide Book,Guide Book
38,ka.mongoid.models.help_section.other,Guide Books,Guide Books
